user_id,subject,series_1,series_2,grade,total_periods,present,attendance_percentage
48220,CST302,41,37,A+,59,54,81%
48220,CST362,41,27,C+,53,53,78%
48220,CST304,40,33,B+,51,45,84%
48220,CST306,44,23,A+,53,53,92%
48220,HUT300,22,37,C,56,45,97%
34020,CST302,36,46,C+,60,51,83%
34020,CST362,28,23,D+,52,52,90%
34020,CST304,47,28,D+,53,43,100%
34020,CST306,22,40,B,60,45,71%
34020,HUT300,24,28,C+,52,50,95%
34120,CST302,34,28,B,57,43,70%
34120,CST362,42,49,S,50,50,97%
34120,CST304,46,36,A+,59,48,82%
34120,CST306,50,45,P,52,41,89%
34120,HUT300,27,28,B+,50,50,87%
17420,CST302,43,44,A+,51,51,73%
17420,CST362,32,38,D,60,53,73%
17420,CST304,48,28,D+,55,53,95%
17420,CST306,25,26,C+,59,49,76%
17420,HUT300,45,46,B,52,43,82%
23820,CST302,32,26,D,50,50,70%
23820,CST362,32,39,B+,56,56,72%
23820,CST304,24,33,B+,55,55,81%
23820,CST306,34,37,A,60,58,82%
23820,HUT300,47,31,C+,55,52,83%
34220,CST302,30,25,B+,56,46,86%
34220,CST362,50,47,B+,52,51,89%
34220,CST304,37,33,S,51,48,98%
34220,CST306,37,32,P,58,58,95%
34220,HUT300,33,24,P,54,51,72%
22020,CST302,33,34,C,51,49,78%
22020,CST362,33,26,B+,56,56,82%
22020,CST304,24,31,A+,52,52,78%
22020,CST306,34,37,D,58,52,92%
22020,HUT300,25,24,B,56,43,98%
18420,CST302,41,23,P,52,46,87%
18420,CST362,36,45,B+,60,47,88%
18420,CST304,23,29,A+,51,50,90%
18420,CST306,23,33,C,53,53,74%
18420,HUT300,47,37,S,58,57,86%
18220,CST302,38,34,B,53,53,78%
18220,CST362,33,39,S,56,47,76%
18220,CST304,33,31,C,51,51,80%
18220,CST306,29,23,B+,54,54,77%
18220,HUT300,24,49,D,50,50,88%
30120,CST302,35,24,A+,51,51,100%
30120,CST362,35,28,C+,57,43,74%
30120,CST304,30,41,P,57,50,70%
30120,CST306,26,32,P,52,51,75%
30120,HUT300,44,31,D,53,47,76%
19120,CST302,38,32,P,53,40,92%
19120,CST362,27,36,C+,59,56,79%
19120,CST304,42,35,A+,57,47,91%
19120,CST306,32,27,B,53,53,95%
19120,HUT300,36,27,D+,55,50,91%
34320,CST302,23,39,B+,58,56,72%
34320,CST362,47,46,C,55,47,91%
34320,CST304,25,24,B+,51,43,77%
34320,CST306,35,25,A+,52,49,79%
34320,HUT300,45,39,B,54,52,92%
32220,CST302,36,45,P,56,52,88%
32220,CST362,43,27,C,51,51,90%
32220,CST304,27,41,A+,54,54,75%
32220,CST306,38,50,A+,58,53,87%
32220,HUT300,25,49,D,51,42,77%
4120,CST302,47,48,D,59,47,74%
