user_id,subject,series_1,series_2,grade,total_periods,present,attendance_percentage
48220,CST301,29,28,C+,56,54,81%
48220,CST307,49,37,D+,56,56,88%
48220,CST303,48,43,D+,52,45,93%
48220,CST305,39,31,D+,54,54,81%
48220,CST309,44,33,C+,52,45,99%
34020,CST301,30,38,S,53,51,75%
34020,CST307,42,47,D,52,52,82%
34020,CST303,37,31,B,52,43,72%
34020,CST305,49,38,S,54,45,93%
34020,CST309,38,40,P,54,50,94%
34120,CST301,47,33,D,60,43,70%
34120,CST307,41,41,A+,58,58,79%
34120,CST303,33,50,A+,52,48,91%
34120,CST305,33,40,D,60,41,82%
34120,CST309,39,36,A,50,50,83%
17420,CST301,33,45,C+,59,59,82%
17420,CST307,31,39,A,56,53,72%
17420,CST303,33,41,D,53,53,81%
17420,CST305,29,32,P,54,49,79%
17420,CST309,47,33,S,57,43,82%
23820,CST301,32,35,C,56,52,93%
23820,CST307,42,46,B,58,56,93%
23820,CST303,47,45,B+,55,55,78%
23820,CST305,40,44,D+,58,58,94%
23820,CST309,38,39,D+,52,52,79%
34220,CST301,50,47,B,60,46,96%
34220,CST307,40,43,A+,53,51,76%
34220,CST303,40,47,S,59,48,89%
34220,CST305,44,47,C+,60,58,96%
34220,CST309,41,47,B,59,51,89%
22020,CST301,31,34,C,50,49,84%
22020,CST307,38,37,C+,57,56,77%
22020,CST303,48,47,B,55,55,89%
22020,CST305,35,38,A,56,52,86%
22020,CST309,28,45,P,59,43,93%
18420,CST301,45,33,D,54,46,94%
18420,CST307,39,48,A+,59,47,72%
18420,CST303,46,42,F,53,50,88%
18420,CST305,46,43,C,55,55,82%
18420,CST309,29,42,B,57,57,82%
18220,CST301,41,42,D+,56,56,81%
18220,CST307,49,33,F,51,47,97%
18220,CST303,49,35,A+,60,53,79%
18220,CST305,48,47,B+,56,56,86%
18220,CST309,35,32,S,54,54,84%
30120,CST301,40,34,C,56,56,72%
30120,CST307,28,36,P,58,43,85%
30120,CST303,36,34,A+,50,50,77%
30120,CST305,44,39,D,53,51,99%
30120,CST309,46,49,S,50,47,97%
19120,CST301,31,36,D,55,40,81%
19120,CST307,49,42,S,59,56,73%
19120,CST303,43,35,D,55,47,99%
19120,CST305,33,40,A,57,56,80%
19120,CST309,34,36,A,50,50,97%
34320,CST301,49,28,A+,57,56,92%
34320,CST307,33,31,C+,54,47,83%
34320,CST303,48,32,A+,52,43,76%
34320,CST305,29,42,B,53,49,76%
34320,CST309,32,34,C+,54,52,90%
32220,CST301,35,41,C+,53,52,85%
32220,CST307,43,33,C,53,53,99%
32220,CST303,29,40,A,55,55,73%
32220,CST305,34,41,D,53,53,83%
