user_id,subject,series_1,series_2,grade,total_periods,present,attendance_percentage
48220,est100,43,41,A+,51,49,97%
48220,est120,41,49,C,60,60,91%
48220,hun101,41,32,D,52,52,96%
48220,mat101,37,49,C,51,51,96%
48220,pht100,48,42,C,50,49,98%
34020,est100,44,33,A,55,55,91%
34020,est120,31,32,B+,52,50,95%
34020,hun101,36,47,A+,56,54,92%
34020,mat101,34,34,D,60,58,98%
34020,pht100,37,39,B+,58,55,93%
34120,est100,37,46,A+,58,57,91%
34120,est120,40,30,C,50,50,97%
34120,hun101,42,47,B,53,51,98%
34120,mat101,43,46,C,52,50,99%
34120,pht100,35,35,C,56,55,100%
17420,est100,42,35,B,54,53,97%
17420,est120,42,37,C,58,55,91%
17420,hun101,41,33,S,60,58,98%
17420,mat101,34,43,C,55,54,92%
17420,pht100,33,50,B,59,59,98%
23820,est100,38,35,D,53,51,93%
23820,est120,48,42,A+,52,52,100%
23820,hun101,35,42,B,51,48,97%
23820,mat101,40,47,C,55,55,90%
23820,pht100,46,37,C+,54,51,96%
34220,est100,35,50,A,50,50,93%
34220,est120,49,31,C+,55,54,99%
34220,hun101,33,45,B,58,55,100%
34220,mat101,42,40,A+,59,57,99%
34220,pht100,31,45,B,55,52,93%
22020,est100,33,34,C,52,50,97%
22020,est120,30,34,B+,52,52,92%
22020,hun101,35,46,B,51,50,98%
22020,mat101,39,46,C+,56,56,99%
22020,pht100,43,42,A+,60,59,91%
18420,est100,43,42,A,54,54,99%
18420,est120,49,32,D,53,51,93%
18420,hun101,35,42,A,53,51,99%
18420,mat101,44,35,A,52,49,98%
18420,pht100,35,34,A,54,52,100%
18220,est100,38,47,C+,57,55,96%
18220,est120,35,45,A,60,59,98%
18220,hun101,47,50,A+,58,58,93%
18220,mat101,36,36,A,60,58,97%
18220,pht100,41,50,C,56,53,96%
30120,est100,44,44,C+,58,55,98%
30120,est120,50,50,C,51,50,97%
30120,hun101,40,48,D,58,58,93%
30120,mat101,42,44,A,60,60,98%
30120,pht100,43,36,A+,52,52,100%
19120,est100,46,35,B+,58,56,90%
19120,est120,50,48,A+,60,57,91%
19120,hun101,41,45,B,55,52,98%
19120,mat101,37,40,A,55,53,98%
19120,pht100,45,34,D,58,56,95%
34320,est100,31,49,D,52,49,98%
34320,est120,50,45,C+,54,53,91%
34320,hun101,37,42,C+,60,57,99%
34320,mat101,42,35,A+,53,53,97%
34320,pht100,32,37,B,53,50,93%
32220,est100,47,43,B,55,53,91%
32220,est120,43,48,C+,50,49,93%
32220,hun101,40,38,S,56,55,90%
32220,mat101,35,39,A+,56,53,100%
32220,pht100,48,40,B+,55,53,93%
4120,est100,34,46,A,57,54,90%
4120,est120,32,47,A+,57,54,98%
4120,hun101,47,43,D,50,48,98%
4120,mat101,31,31,C+,60,59,98%
4120,pht100,49,50,C+,56,53,99%
34420,est100,40,38,D,58,58,97%
34420,est120,45,42,A+,59,57,94%
34420,hun101,38,42,A+,57,57,91%
34420,mat101,35,36,C+,56,54,93%
34420,pht100,30,35,B+,55,55,91%
34520,est100,41,30,B,53,51,94%
34520,est120,44,49,B,57,55,90%
34520,hun101,46,31,B+,55,52,100%
34520,mat101,46,30,B+,56,56,93%
34520,pht100,36,30,D,59,59,94%
18020,est100,49,41,B,59,58,97%
18020,est120,36,47,B,56,53,97%
18020,hun101,30,46,A,51,49,92%
18020,mat101,48,49,A,53,52,96%
18020,pht100,30,48,S,54,51,96%
48320,est100,43,50,C+,60,58,91%
48320,est120,46,50,B,51,49,92%
48320,hun101,38,35,A,59,59,94%
48320,mat101,31,33,A,57,56,96%
48320,pht100,32,39,S,57,54,95%
25920,est100,37,40,A,52,50,91%
25920,est120,47,32,S,60,57,100%
25920,hun101,41,48,A+,59,59,92%
25920,mat101,36,44,B,58,55,94%
25920,pht100,48,33,D,56,56,92%
34620,est100,36,41,A,57,54,90%
34620,est120,37,33,S,53,53,95%
34620,hun101,40,46,C,51,49,97%
34620,mat101,37,35,B+,53,50,92%
34620,pht100,38,39,D,59,56,97%
48420,est100,36,50,S,50,49,94%
48420,est120,34,35,C,60,58,100%
48420,hun101,33,49,B+,56,54,95%
48420,mat101,48,30,D,54,54,90%
48420,pht100,36,47,C,52,52,97%
21220,est100,35,44,A+,56,53,95%
21220,est120,33,47,B,50,48,96%
21220,hun101,43,38,D,52,49,97%
21220,mat101,30,31,A,56,56,90%
21220,pht100,33,39,A,52,51,95%
22620,est100,47,46,C,59,56,100%
22620,est120,41,46,S,60,59,93%
22620,hun101,48,37,D,58,57,97%
22620,mat101,44,41,B,58,55,94%
22620,pht100,49,44,C,59,58,96%
26320,est100,37,49,C+,58,55,92%
26320,est120,32,37,B+,55,53,95%
26320,hun101,34,36,S,52,49,98%
26320,mat101,46,30,S,56,53,93%
26320,pht100,46,36,C+,50,50,95%
34720,est100,49,48,A,57,55,92%
34720,est120,39,31,C,55,52,94%
34720,hun101,30,43,C+,54,52,94%
34720,mat101,30,42,A,56,56,95%
34720,pht100,47,38,A+,59,57,94%
34820,est100,33,32,B,59,59,96%
34820,est120,45,49,C+,58,55,93%
34820,hun101,33,47,B,58,57,99%
34820,mat101,50,35,S,55,53,98%
34820,pht100,39,34,B,59,59,91%
14320,est100,40,35,A+,57,57,90%
14320,est120,47,30,B+,54,52,98%
14320,hun101,36,37,B+,59,59,90%
14320,mat101,50,31,C+,59,57,98%
14320,pht100,47,48,D,60,58,98%
